entity,thing,type1
George H. W. Bush Biography," June 12, 1924",Birthday
George H. W. Bush Biography, American,Nationality
George H. W. Bush Biography," 
Quotes By George H. W. Bush 

Aviators 
",Famous
George H. W. Bush Biography, Gemini,Sun Sign
George H. W. Bush Biography, 94,Died At Age
George H. W. Bush Biography, George Herbert Walker Bush,Also Known As
George H. W. Bush Biography, Milton,Born in
George H. W. Bush Biography, 41st U.S. President,Famous as
George H. W. Bush Biography, 1.88 m,Height
George H. W. Bush Biography, Political party - Republican,political ideology
George H. W. Bush Biography, Barbara Bush,Spouse/Ex-
George H. W. Bush Biography, Prescott Bush,father
George H. W. Bush Biography, Dorothy Walker Bush,mother
George H. W. Bush Biography," Jonathan Bush, Nancy Walker Bush Ellis, Prescott Bush Jr., William H. T. Bush",siblings
George H. W. Bush Biography," Dorothy Bush Koch, George W. Bush, Jeb Bush, Marvin Bush, Neil Bush, Robin Bush",children
George H. W. Bush Biography," Episcopal Church, Protestantism",religion
George H. W. Bush Biography," December 1, 2018",Died on
George H. W. Bush Biography, Houston,place of death
George H. W. Bush Biography," Resolution Trust Corporation, National Renewable Energy Laboratory, North American Free Trade Agreement, HRG Group, Points of Light",Founder/Co-Founder
George H. W. Bush Biography," $25 million as of Jan 15, 2017",Net worth
George H. W. Bush Biography," Yale University, Phillips Academy, Davenport College",education
George H. W. Bush Biography," Boating, Fishing, Golf, Horseshoes, Jogging, Tennis",Hobbies
George H. W. Bush Biography, 2011 - Presidential Medal of Freedom  Air Medal,awards
Martin Luther King Jr. Biography," January 15, 1929",Birthday
Martin Luther King Jr. Biography, American,Nationality
Martin Luther King Jr. Biography," 
Quotes By Martin Luther King Jr. 

Political Leaders 
",Famous
Martin Luther King Jr. Biography, Capricorn,Sun Sign
Martin Luther King Jr. Biography, 39,Died At Age
Martin Luther King Jr. Biography, Michael King Jr.,Also Known As
Martin Luther King Jr. Biography," Atlanta, Georgia, U.S.",Born in
Martin Luther King Jr. Biography, Civil Rights Activist,Famous as
Martin Luther King Jr. Biography," Peace movement, African-American Civil Rights Movement",political ideology
Martin Luther King Jr. Biography, Coretta Scott King (1953–1968),Spouse/Ex-
Martin Luther King Jr. Biography, Martin Luther King Sr.,father
Martin Luther King Jr. Biography, Alberta Williams King,mother
Martin Luther King Jr. Biography," Alfred Daniel Williams King, Willie Christine King",siblings
Martin Luther King Jr. Biography," Bernice Albertine King (b.1963), Dexter Scott King (b.1961), Martin Luther King III (b.1957), Yolanda Denise-King (1955–2007)",children
Martin Luther King Jr. Biography, Baptist (Progressive National Baptist Convention),religion
Martin Luther King Jr. Biography," April 4, 1968",Died on
Martin Luther King Jr. Biography," Memphis, Tennessee, U.S.",place of death
Martin Luther King Jr. Biography, Assassination,Cause of Death
Martin Luther King Jr. Biography, Georgia,"City, States, Provinces & Districts"
Martin Luther King Jr. Biography, INFJ,Personality
Martin Luther King Jr. Biography, Morehouse College,Notable Alumni
Martin Luther King Jr. Biography, Southern Christian Leadership Conference (SCLC),Founder/Co-Founder
Martin Luther King Jr. Biography," Boston University (1954 – 1955), Crozer Theological Seminary (1948 – 1951), Morehouse College (1948), Washington High School",education
Martin Luther King Jr. Biography, 1964 - Nobel Peace Prize 1965 - Spingarn Medal from the NAACP 1977 - Presidential Medal of Freedom,awards
