entity,thing,typee
George H. W. Bush Biography, Barbara Bush,Spouse/Ex-
George H. W. Bush Biography, Prescott Bush,father
George H. W. Bush Biography, Dorothy Walker Bush,mother
George H. W. Bush Biography," Jonathan Bush, Nancy Walker Bush Ellis, Prescott Bush Jr., William H. T. Bush",siblings
George H. W. Bush Biography," Dorothy Bush Koch, George W. Bush, Jeb Bush, Marvin Bush, Neil Bush, Robin Bush",children
Joseph Stalin Biography," Kato Svanidze (m. 1906–1907), Nadezhda Alliluyeva (m. 1919–1932)",Spouse/Ex-
Joseph Stalin Biography, Besarion Jughashvili,father
Joseph Stalin Biography, Ketevan Geladze,mother
Joseph Stalin Biography," Svetlana Alliluyeva, Vasily Dzhugashvili, Yakov Dzhugashvili",children
Kamala Harris Biography, Douglas Emhoff (m. 2014),Spouse/Ex-
Kamala Harris Biography, Donald Harris,father
Kamala Harris Biography, Shyamala Gopalan,mother
Kamala Harris Biography, Maya Harris,siblings
Bob Dole Biography," Elizabeth Dole, Phyllis Holden",Spouse/Ex-
Bob Dole Biography, Doran Ray Dole,father
Bob Dole Biography, Bina M. Dole,mother
Bob Dole Biography, Robin Dole,children
Jeb Bush Biography, Columba Bush,Spouse/Ex-
Jeb Bush Biography, George H. W. Bush,father
Jeb Bush Biography, Barbara Bush,mother
Jeb Bush Biography," Dorothy Bush Koch, George W. Bush, Marvin Bush, Neil Bush, Robin Bush",siblings
Jeb Bush Biography," George P. Bush, John Ellis Bush, Jr., Noelle Bush",children
Vladimir Putin Biography, Lyudmila Putina (1983–2014),Spouse/Ex-
Vladimir Putin Biography, Vladimir Spiridonovich Putin,father
Vladimir Putin Biography, Maria Ivanovna Shelomova,mother
Vladimir Putin Biography," Albert Putin, Viktor Putin",siblings
Vladimir Putin Biography," Mariya Putina, Yekaterina Putina",children
Jair Bolsonaro Biography," Michelle Bolsonaro (m. 2013), Ana Cristina Valle (div.), Rogéria Nantes Braga (div.)",Spouse/Ex-
Jair Bolsonaro Biography, Geraldo Bolsonaro,father
Jair Bolsonaro Biography, Olinda Bolsonaro,mother
Jair Bolsonaro Biography," Carlos Bolsonaro, Eduardo Bolsonaro, Flávio Bolsonaro, Laura Bolsonaro, Renan Bolsonaro",children
Martin Luther King Jr. Biography, Coretta Scott King (1953–1968),Spouse/Ex-
Martin Luther King Jr. Biography, Martin Luther King Sr.,father
Martin Luther King Jr. Biography, Alberta Williams King,mother
Martin Luther King Jr. Biography," Alfred Daniel Williams King, Willie Christine King",siblings
Martin Luther King Jr. Biography," Bernice Albertine King (b.1963), Dexter Scott King (b.1961), Martin Luther King III (b.1957), Yolanda Denise-King (1955–2007)",children
Jawaharlal Nehru Biography, Kamala Nehru,Spouse/Ex-
Jawaharlal Nehru Biography, Motilal Nehru,father
Jawaharlal Nehru Biography, Swaruprani Thussu (1868–1938),mother
Jawaharlal Nehru Biography," Krishna Hutheesing, Vijaya Lakshmi",siblings
Jawaharlal Nehru Biography, Indira Gandhi,children
Gerald Ford Biography, Betty Ford,Spouse/Ex-
Gerald Ford Biography, Leslie Lynch King Sr.,father
Gerald Ford Biography, Dorothy Ayer Gardner Ford,mother
Gerald Ford Biography," James Francis Ford, Leslie Henry King, Marjorie King, Patricia Jane King, Richard Addison Ford, Thomas Gardner Ford",siblings
Gerald Ford Biography," John Gardner Ford, Michael Gerald Ford, Steven Ford, Susan Ford",children
Narendra Modi Biography, Jashodaben Modi,Spouse/Ex-
Narendra Modi Biography, Damodardas Mulchand Modi,father
Narendra Modi Biography, Heeraben Modi,mother
Narendra Modi Biography," Amrutbhai Modi (brother), Pankajbhai Modi (brother), Prahladbhai Modi (brother), Soma Modi (brother), Vasantiben Hasmukhlal Modi (Sister)",siblings
John McCain Biography," Carol McCain, Cindy McCain",Spouse/Ex-
John McCain Biography, John S. McCain Jr.,father
John McCain Biography, Roberta McCain,mother
John McCain Biography," Joe McCain, Sandy McCain",siblings
John McCain Biography," Andrew McCain, Bridget McCain, Douglas McCain, James McCain, John Sidney McCain IV, Meghan McCain, Sidney McCain",children
Richard Nixon Biography, Pat Ryan,Spouse/Ex-
Richard Nixon Biography, Francis A. Nixon,father
Richard Nixon Biography, Hannah (Milhous) Nixon,mother
Richard Nixon Biography," Arthur, Donald, Edward, Harold",siblings
Richard Nixon Biography," Julie, Tricia",children
Nikki Haley Biography, Michael Haley,Spouse/Ex-
Nikki Haley Biography, Ajit Singh Randhawa,father
Nikki Haley Biography, Raj Kaur Randhawa,mother
Nikki Haley Biography," Charan Randhawa, Mitti Randhawa, Simran Singh",siblings
Nikki Haley Biography," Nalin Haley, Rena Haley",children
Otto von Bismarck Biography, Johanna von Puttkamer,Spouse/Ex-
Otto von Bismarck Biography, Ferdinand von Bismarck-Schönhausen,father
Otto von Bismarck Biography, Wilhelmine Mencken,mother
Otto von Bismarck Biography," Countess Marie von Bismarck-Schönhausen - Herbert, Prince von Bismarck - Count Wilhelm von Bismarck-Schönhausen",children
George Washington Biography, Martha Dandridge Custis,Spouse/Ex-
George Washington Biography, Augustine Washington,father
George Washington Biography, Mary Ball Washington,mother
George Washington Biography," Augustine, Charles, Elizabeth (Betty), John Augustine, Lawrence, Samuel",siblings
George Washington Biography," John Parke Custis, Martha Parke Custis",children
Alexander Hamilton Biography, Elizabeth Schuyler (m. 1780; his death 1804),Spouse/Ex-
Alexander Hamilton Biography," Alexander Hamilton Jr., Angelica Hamilton, James Alexander Hamilton, John Church Hamilton, Philip Hamilton, William S. Hamilton Elizabeth Hamilton",children
John Quincy Adams Biography, Louisa Johnson,Spouse/Ex-
Anthony Eden Biography," Beatrice Beckett, Clarissa Eden",Spouse/Ex-
Anthony Eden Biography," 2nd Earl of Avon, Baron Fraser of Carmyllie, Nicholas Eden, Peter Fraser, Robert Eden, Simon Eden",children
John Quincy Adams Biography, John Adams,father
John Quincy Adams Biography, Abigail Adams,mother
John Quincy Adams Biography, Charles Adams,siblings
John Quincy Adams Biography," Charles, George, John, Louisa",children
William McKinley Biography, Ida Saxton McKinley,Spouse/Ex-
William McKinley Biography, William McKinley Sr.,father
William McKinley Biography, Nancy Allison McKinley,mother
William McKinley Biography," Abigail Celia McKinley, Abner Osborn McKinley, Anna McKinley, David Allison McKinley, Helen Minerva McKinley, James Rose McKinley, Mary McKinley, Sarah Elizabeth McKinley",siblings
William McKinley Biography," Ida McKinley, Katherine McKinley",children
James Madison Biography, Dolley Madison,Spouse/Ex-
James Madison Biography, James Madison Sr.,father
James Madison Biography, Eleanor Rose Conway,mother
James Madison Biography," Ambrose Madison, Catlett Madison, Elizabeth Madison, Frances Taylor Madison, Francis Madison, Nelly Conway Madison, Reuben Madison, Sarah Catlett Madison, William Taylor Madison",siblings
James Madison Biography, John Payne Todd,children
Warren G. Harding Biography, Florence Harding,Spouse/Ex-
Warren G. Harding Biography, Dr. George Tryon Harding Sr.,father
Warren G. Harding Biography, Phoebe Elizabeth Harding,mother
Warren G. Harding Biography, Carolyn Harding Votaw,siblings
Warren G. Harding Biography," Elizabeth Ann Blaesing, Marshall Eugene DeWolfe",children
Tony Blair Biography, Cherie Booth,Spouse/Ex-
Tony Blair Biography, Leo,father
Tony Blair Biography, Hazel Blair,mother
Tony Blair Biography, William J. L. Blair,siblings
Tony Blair Biography," Euan Blair, Kathryn Blair, Leo Blair, Nicky Blair",children
William Howard Taft Biography, Helen Herron Taft,Spouse/Ex-
William Howard Taft Biography, Alphonso Taft,father
William Howard Taft Biography, Louise Taft,mother
