entity,thing,type1
George H. W. Bush,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Donald Trump,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
George W. Bush,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Jimmy Carter,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Barack Obama,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Adolf Hitler,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ronald Reagan,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Dick Cheney,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Abraham Lincoln,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
John F. Kennedy,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Arnold Schwarzenegger,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Alexander Hamilton,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Nikki Haley,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
George Washington,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Richard Nixon,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
John McCain,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Narendra Modi,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Bob Dole,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Joseph Stalin,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Jair Bolsonaro,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Kamala Harris,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Vladimir Putin,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Martin Luther King Jr ,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Jawaharlal Nehru,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Gerald Ford,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Jeb Bush,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Theodore Roosevelt,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Lyndon B. Johnson,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Nelson Mandela,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Elizabeth Warren,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Emmanuel Macron,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ted Cruz,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Thomas Jefferson,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Hillary Clinton,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Dwight D. Eisenhower,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ted Kennedy,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
B. R. Ambedkar,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Indira Gandhi,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Mitch McConnell,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Joe Biden,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Angela Merkel,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Margaret Thatcher,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Bernie Sanders,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Justin Trudeau,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Benito Mussolini,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Robert F. Kennedy,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Jacob Rees-Mogg,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Mike Pence,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Andrew Jackson,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Mikhail Gorbachev,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Harry S. Truman,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Subhas Chandra Bose,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Rick scott,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Saddam Hussein,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
John Adams,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Jeff Sessions,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Vladimir Lenin,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Mao Zedong,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Al Gore,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Imran Khan,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Dan Quayle,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Mitt Romney,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
